"","Mod","Domain","Dimen","Sample","C_Smoothness","C_Range","Neighbors","Seed_off","MSE_Laplace","MSE_VL","MSE_VL_z","MSE_LowRank","LS_Laplace","LS_VL","LS_VL_z","LS_LowRank","Time_Laplace","Time_VL","Time_VL_z","Time_LowRank","Iter_Laplace","Iter_VL","Iter_VL_z","Iter_LowRank"
"280",2,10,2,4096,0.5,0.3,10,512593,0.5605064,0.5780734,0.5709166,0.7490985,-4090.511,-4294.959,-4143.621,-5228.329,15.80809,0.4756641,0.6406381,0.389375,5,5,6,4
"281",3,10,2,4096,0.5,0.3,10,203243,0.3328787,0.3391758,0.3376575,0.4346524,-3164.5,-3269.76,-3179.151,-3998.266,28.13514,0.9711838,1.252069,1.000113,11,11,12,12
"282",4,10,2,4096,0.5,0.3,10,204146,0.2692192,0.277477,0.271074,0.3765341,-2928.336,-3018.652,-2935.846,-3763.663,24.6234,0.8914337,0.9691916,0.7134848,9,9,9,9
"283",2,10,2,8100,0.5,0.3,10,244778,0.5148388,0.55286,0.5475707,0.8182783,-7126.348,-7669.851,-7282.88,-10679.43,63.98281,1.036019,1.384753,0.9263356,5,6,6,5
"284",3,10,2,8100,0.5,0.3,10,516825,0.3014843,0.3153034,0.3081939,0.4705269,-5604.777,-5960.174,-5665.847,-8265.014,94.37589,2.030037,2.208701,2.02648,10,11,10,11
"285",4,10,2,8100,0.5,0.3,10,420106,0.2214304,0.2334141,0.2242018,0.3674037,-4864.611,-5141.721,-4900.557,-7333.868,89.52389,1.343052,2.088971,1.427917,9,9,9,8
"286",2,10,2,16900,0.5,0.3,10,350614,0.4314664,0.46433,0.486362,0.8469747,-12057.09,-13508.2,-12607.86,-22638.46,297.01,2.106464,2.560419,1.614528,5,6,6,5
"287",3,10,2,16900,0.5,0.3,10,499691,0.2547428,0.2743439,0.2683466,0.4923592,-9643.372,-10665.27,-9899.589,-17640.28,735.4548,5.411335,6.945818,6.808764,16,16,16,20
"288",4,10,2,16900,0.5,0.3,10,354885,0.1932471,0.205878,0.1973848,0.4080361,-8558.441,-9341.863,-8693.565,-16211.69,500.4955,3.508547,4.346619,2.714538,10,11,10,9
"289",2,10,2,256,0.5,0.3,10,766277,0.8430133,0.8441029,0.8425202,0.8471676,-334.7488,-335.4145,-334.7278,-341.3362,0.08992743,0.05738258,0.05087638,0.03306675,4,4,4,4
"290",3,10,2,256,0.5,0.3,10,580546,0.5126264,0.5093941,0.5124888,0.5040871,-266.0571,-265.4726,-266.0649,-265.3089,0.2839408,0.1568348,0.1889858,0.1166477,15,15,15,15
